Gene_name	target	ADHD_evidence	other_Neuro	SFARI	x	y
CDC27	1	0	0	0	-2.063160968819458	2.9863025173701025
TNRC6C	1	0	0	1	-1.0406758056581407	2.306229565634547
CLTC	1	0	1	0	-1.342590841031388	1.5685220521203398
TRMT1L	1	0	0	0	-1.5698081307523126	2.20898728251508
NIPBL	1	0	0	1	-2.112997156408934	2.405372868203231
PTRH2	1	0	0	0	-0.9189877477824417	1.5382182724803117
HLA-E	1	0	0	0	-0.7278733960775066	0.9852832855688007
USP37	1	0	0	0	-2.359292863314356	2.58342045818922
RBFOX1	1	0	0	1	-2.0612790408801476	0.8889008992546987
RAB11FIP4	1	0	0	0	-2.420235269148624	4.158608695857973
ATAD5	1	0	0	0	-2.647988280701686	3.3913964351981196
OTOA	1	0	0	0	-1.7348477581415012	-1.0
LRRK2	1	0	0	0	-1.5014428296675908	1.3733386995779433
KDM4C	1	0	0	1	-1.5170910796347699	3.0122319842388126
TAF1B	1	0	0	0	-0.6145721391946242	3.361185536955542
MEAF6	1	0	0	0	-0.9286937857752275	2.958935961887405
HLA-DPB1	1	0	0	1	-0.15533655590831286	0.49189751511656366
EXOC4	1	0	0	0	-1.0793588746871885	1.8849333379869655
FLOT2	1	0	0	0	-0.666000714302537	2.789802314415806
QKI	1	0	0	0	-1.9827793627997095	1.2957418704829045
DOCK8	1	0	0	1	-2.7850163856214984	4.140789914320376
CRLF3	1	0	0	0	-2.7501800103067082	3.7489584370612072
FAM184B	1	0	0	0	-3.4965663986414794	3.5557083182026576
RPL22L1	1	0	0	0	-3.6380997790509495	2.9490326980775525
CEP290	1	0	0	1	0.6543778869198991	2.0457131640295785
TDRP	1	0	0	0	-2.5850370692332043	0.32923529215951697
CPLX2	1	1	0	0	-2.323211152887392	0.8299694974941472
CAPZB	1	0	0	0	-1.2561053028747877	1.94548017010539
OTOGL	1	0	0	0	-1.6895753805146214	-0.659468539115625
CHD1L	1	0	0	0	-2.277891086006236	3.388629320549807
RAD51C	1	0	0	0	-2.612008950200993	2.8607415590782304
CASQ1	1	0	0	0	-2.751029452682401	0.5735427221236091
ASIC2	1	0	1	0	-2.015169315365796	0.43641731358140956
NUMB	1	0	0	0	-0.9731543585913618	1.4042981454556849
USP36	1	0	0	0	-2.8084976648348166	2.2714810684022826
SSTR2	1	0	0	0	-2.026340956094122	0.6435624276090042
GMPS	1	0	0	0	-2.762132750557345	2.840179165105339
EXOC6	1	0	0	1	-0.22740841805216028	2.255303644973249
MUSK	1	0	0	0	-3.8828578300903582	2.0171647646366204
EPHA10	1	0	0	0	-3.5580389373393917	2.1921558773617402
SUPT16H	1	0	0	1	-2.423003115390628	2.968210195013352
PICALM	1	0	0	0	-1.853804865645171	1.7042453469272085
ATP6V1B1	1	0	0	0	-1.0374995405460994	2.571415415993721
MYO18A	1	0	0	0	-1.2342165334621524	1.7715031128102223
CDCA8	1	0	0	0	-2.958213881993982	2.9772414674594314
EIF5A2	1	0	0	0	-4.00822193250082	3.042970019242788
KTN1	1	0	0	0	-1.686468476403608	2.2590893145746183
GNL2	1	0	0	0	-3.1982267200297354	2.3954363067457747
