	Gene name	annotation_name
0	ABCA13	1
1	ACAD10	1
2	ACP6	1
3	AHRR	1
4	ALDH2	1
5	ANXA11	1
6	ARHGEF10	1
7	ART1	1
8	ART5	1
9	ASPG	1
10	ATE1	1
11	ATXN10	1
12	BCHE	1
13	BCL9	1
14	BDH1	1
15	C1QA	1
16	C1QB	1
17	C1QC	1
18	C1orf109	1
19	C2orf80	1
20	C2orf92	1
21	CALY	1
22	CARD17	1
23	CATSPER2	1
24	CCDC127	1
25	CCDC42	1
26	CCN5	1
27	CCT8L2	1
28	CDCA8	1
29	CEACAM16	1
30	CEACAM19	1
31	CEP43	1
32	CEP72	1
33	CHD1L	1
34	CKMT1B	1
35	CLN8	1
36	CLRN1	1
37	CLTC	1
38	COPG2	1
39	CPLX2	1
40	CPZ	1
41	CROCC	1
42	CSAD	1
43	CUL4A	1
44	CYP2A6	1
45	CYP2A7	1
46	CYP2B6	1
47	CYP2E1	1
48	DEFB103A	1
49	DEFB103B	1
50	DEFB104A	1
51	DEFB104B	1
52	DEFB105A	1
53	DEFB105B	1
54	DEFB106A	1
55	DEFB106B	1
56	DEFB107A	1
57	DEFB107B	1
58	DEFB4B	1
59	DHX40	1
60	DIP2C	1
61	DIS3L2	1
62	DLGAP2	1
63	DMRT1	1
64	DMRT2	1
65	DMRT3	1
66	DNALI1	1
67	DOCK1	1
68	DOCK8	1
69	DSG3	1
70	DSG4	1
71	ECHS1	1
72	EIF5A2	1
73	EMCN	1
74	EPB41L5	1
75	EPHA10	1
76	EPHA8	1
77	ERICH1	1
78	ERVV-1	1
79	ERVV-2	1
80	EXOC3	1
81	F10	1
82	F7	1
83	FAM171B	1
84	FAM90A26	1
85	FBXO25	1
86	FGF20	1
87	FMO5	1
88	FOXI2	1
89	FOXJ3	1
90	FUOM	1
91	GALR1	1
92	GBA3	1
93	GJA5	1
94	GJA8	1
95	GNL2	1
96	GPATCH2L	1
97	GPR89B	1
98	GUCA2A	1
99	GUCA2B	1
100	GYPB	1
101	GYPE	1
102	HLA-DRB1	1
103	HLA-DRB5	1
104	HMX1	1
105	HNRNPCL1	1
106	HNRNPCL2	1
107	HNRNPCL3	1
108	HNRNPCL4	1
109	IER3IP1	1
110	IGFBP6	1
111	IGSF23	1
112	ILRUN	1
113	INSYN2A	1
114	IQGAP1	1
115	KANK1	1
116	KAT2B	1
117	KBTBD11	1
118	KHDRBS2	1
119	KIAA1586	1
120	KIF26A	1
121	LRBA	1
122	LRRC14B	1
123	MAPKAPK5	1
124	MASP1	1
125	MCF2L	1
126	MCPH1	1
127	MEAF6	1
128	MED12L	1
129	MINDY4B	1
130	MMP26	1
131	MORC2	1
132	MTG1	1
133	MTRNR2L9	1
134	MYOM2	1
135	NBPF10	1
136	NBPF11	1
137	NBPF12	1
138	NBPF19	1
139	NBPF20	1
140	NELL2	1
141	NGRN	1
142	NIPBL	1
143	NLRP5	1
144	NLRP8	1
145	NOMO3	1
146	NPIPA7	1
147	NPIPA8	1
148	NPS	1
149	NRXN2	1
150	NUTM2B	1
151	NUTM2E	1
152	OR51L1	1
153	OR52E1	1
154	OR52E2	1
155	OR52J3	1
156	OSBP2	1
157	OXTR	1
158	PAOX	1
159	PAX8	1
160	PCID2	1
161	PDCD6	1
162	PICALM	1
163	PIWIL3	1
164	PLAC9	1
165	PLB1	1
166	PLEKHG4B	1
167	PPIP5K1	1
168	PRAMEF1	1
169	PRAMEF11	1
170	PRAMEF18	1
171	PRAMEF2	1
172	PRAMEF25	1
173	PRAMEF26	1
174	PRAMEF27	1
175	PRAMEF4	1
176	PRAMEF5	1
177	PRAMEF6	1
178	PRAMEF7	1
179	PRAMEF8	1
180	PRAMEF9	1
181	PRAP1	1
182	PRKAB2	1
183	PROZ	1
184	PRR23D1	1
185	PRR23D2	1
186	PSD4	1
187	PTBP2	1
188	PTRH2	1
189	PVR	1
190	RDH16	1
191	RNASE3	1
192	RNASEH2B	1
193	RNF2	1
194	RP9	1
195	RPL22L1	1
196	RPS3A	1
197	RPTOR	1
198	RSPO1	1
199	RTP1	1
200	RUNX2	1
201	SDHA	1
202	SFTPD	1
203	SGPL1	1
204	SH3D19	1
205	SLC22A12	1
206	SLC6A12	1
207	SLC6A13	1
208	SLC9A3	1
209	SMARCA2	1
210	SNIP1	1
211	SOAT2	1
212	SPAG11A	1
213	SPAG11B	1
214	SPATA33	1
215	SPDYE4	1
216	SPRN	1
217	SPRR2G	1
218	SPRYD3	1
219	STRC	1
220	SULF2	1
221	SWT1	1
222	SYCE1	1
223	TAF1B	1
224	TARP	1
225	TDRP	1
226	TMEM108	1
227	TMEM131	1
228	TMEM254	1
229	TNS2	1
230	TPPP	1
231	TRHDE	1
232	TRMT1L	1
233	TUBGCP2	1
234	UGT2A1	1
235	UGT2A2	1
236	USP17L10	1
237	USP17L11	1
238	USP17L12	1
239	USP17L13	1
240	USP17L15	1
241	USP17L17	1
242	USP17L18	1
243	USP17L19	1
244	USP17L20	1
245	USP17L21	1
246	USP17L22	1
247	USP17L24	1
248	USP17L25	1
249	USP17L26	1
250	USP17L27	1
251	USP17L28	1
252	USP17L29	1
253	USP17L30	1
254	USP17L5	1
255	VMP1	1
256	WDR64	1
257	WNT3	1
258	WNT9B	1
259	WWC1	1
260	XKR3	1
261	ZAP70	1
262	ZDHHC11	1
263	ZDHHC11B	1
264	ZNF195	1
265	ZNF511	1
266	ZNF596	1
267	ZNF664	1
268	ZNF705G	1
269	ZNF774	1
270	ZNF80	1
